"plate","carbon_id","EC","PP"
1,66,3226861.656,94278771.16
1,67,9145743.664,186798909.7
1,68,4964801.906,51647847.79
1,69,4827601.525,341703014.1
1,70,6389053.245,157336675.1
1,71,11261209.95,78413856.84
1,72,4001188.43,192242368.7
2,1,4460152.697,201340178.4
2,2,16636401.6,171376007.6
2,3,64990578.69,153633185.5
2,4,76675463.18,156238241.1
2,5,17435925.25,154496675.1
2,6,18819567.39,84104471.94
2,7,12404330.02,165592684.8
2,8,19005063.03,166640097.9
2,9,7087080.918,143338556.1
2,10,3627373.052,201905198
2,11,9432060.655,292689232.9
2,12,144954342.1,170896422.1
2,13,30240955.12,201199170.7
2,14,9871511.649,200074658.6
2,15,36640677.18,92512159.67
2,16,25029061.58,166756885.4
2,17,9598716.241,164436612.1
2,18,67449126.34,144346298.8
2,19,20114747.96,625938706
2,20,31517154.79,399763980.7
2,21,59208418.52,115194847.4
2,22,71738360.78,213993857
2,23,24906616.15,182529753.4
2,24,13953702.22,101689072.9
2,25,63951739.41,118054419.3
2,26,70938703.22,101333483.9
2,27,95274757.97,67591038.14
2,28,132986303.1,258735789.3
2,29,64086292.77,216861420.6
2,30,17217427.76,293716307.7
2,31,11654507.59,242245550.9
2,32,48018534.89,164436612.1
2,33,81209334.58,123381714.6
2,34,91352847.8,126799356
2,35,28313581.41,111619797.7
2,36,150543294.7,132614148.9
2,37,3133295.189,35058629.88
2,38,58630524.97,181001641.8
2,39,33923026.47,732295995.2
2,40,8337893.52,286200467.7
2,41,18583730.85,354381034.5
2,42,11135682.81,344829351.3
2,43,6915414.176,407112551.3
2,44,11468216.59,248955689.6
2,45,16347555.76,60805861.33
2,46,27377273.6,178858690.9
2,47,58302836.07,751526640.1
2,48,28056881.1,282812025.8
2,49,55512564.39,353884830
2,50,115761166.1,305468739.6
2,51,3233650.917,46203455.26
2,52,97434836.68,97094124.02
2,53,19313783.42,53714426.31
2,54,34161522.55,161016595
2,55,4596560.966,160678530.1
2,56,21589626.59,598492886.7
2,57,6663344.562,221157491.2
2,58,37523939.26,285799729.7
2,59,20441494.2,154930238.1
2,60,23847916.28,223650492.3
2,61,17205369.61,69609441.86
2,62,12973170.53,224592595.9
2,63,14390537.34,11484296.91
2,64,8135928.983,158776192.7
2,65,18675091.83,856725138.5
2,66,7072201.129,63283198.34
2,67,7596077.755,108611293.2
2,68,29549819.58,62929505.42
2,69,13036948.98,104359504.6
2,70,8402397.72,70889021.62
2,71,10684774.25,53190155.93
2,72,4066184.187,97708267.44
3,1,6062012.154,140357344.7
3,2,19005063.03,108383256.7
3,3,55590402.1,222556365
3,4,55707363.35,139084818.5
3,5,21559396.78,172218523.1
3,6,15327123.48,106576116.5
3,7,8005880.555,143942354.3
3,8,29591253.27,114872481.5
3,9,3945515.463,121835562.3
3,10,5343791.582,131227822.2
3,11,9545068.542,96416268.76
3,12,173916000.2,81894946.72
3,13,35453828.8,106875200.3
3,14,9432060.655,124162133.3
3,15,45784559.42,163288610.3
3,16,19058396.81,112798979.9
3,17,14400622.75,151495516.8
3,18,59332992.01,92124096.84
3,19,19834869.19,277318291.7
3,20,31672098.82,206627523.2
3,21,43016954.14,90397860.01
3,22,66557244.98,109605008.5
3,23,17399317.39,113512460.2
3,24,7417276.499,112562151
3,25,49765263.07,91352847.8
3,26,24371518.15,177859040.9
3,27,37576553.97,85410815.49
3,28,74975608.78,117230231.4
3,29,26434862.74,169822256
3,30,8905474.023,276348557.9
3,31,5832870.745,125385941.1
3,32,40106372.54,63061908.01
3,33,47917716.84,117559213.8
3,34,51611676.46,105019603.3
3,35,16835726.5,121835562.3
3,36,42270081.8,52376621.76
3,37,2298884.677,38563342.6
3,38,40501682.22,143137853.4
3,39,13332523.97,1230680563
3,40,5484123.578,869422805.3
3,41,11003843,646439511.3
3,42,10729782.71,677981367.9
3,43,4654893.551,889757582.6
3,44,8147336.888,763734523.7
3,45,11468216.59,45147508.12
3,46,31760980.03,469989712
3,47,64582081.67,576677581.5
3,48,49487122.56,395307867
3,49,45305935.09,635215848.4
3,50,88579766.34,410549610.7
3,51,2472637.83,24252289.51
3,52,69171913.06,392548055.2
3,53,10003792.02,107250235.7
3,54,20256164.84,265716479.5
3,55,4599782.403,268900095.4
3,56,18925342.06,338605021.3
3,57,4641867.109,271360338.1
3,58,18453989.94,313271027.3
3,59,21771897.63,269088550.3
3,60,18415244.58,265530386.2
3,61,13165448.06,64311177.76
3,62,10166294.75,185885065.1
3,63,7380990.217,148969539.6
3,64,8285485.851,117559213.8
3,65,16244803.52,1123546850
3,66,5310203.284,42448139.97
3,67,NA,276348557.9
3,68,19545186.7,57210347.71
3,69,7360334.956,272121854.9
3,70,6714893.998,69220391.24
3,71,9425454.954,75555640.38
3,72,3410492.526,87224954.25
